EAN;DESCRIPCION;CLASIFICACION;CATEGORIA;PLATAFORMA;PUBLISHER
711719992813;PS3 CON 250GB Azurite Blue (CECH-4211B);OBSOLETO;Consola;PS3;SCEA
722674111478;TALES OF ZESTIRIA -  LATAM  PS3;OBSOLETO;Juego;PS3;BANDAI NAMCO
722674111911;SAINT SEIYA SOLDIERS SOUL -  LATAM  PS3;OBSOLETO;Juego;PS3;BANDAI NAMCO
722674120081;RIDE -  LATAM  PS4;OBSOLETO;Juego;PS4;BANDAI NAMCO
722674120326;SWORD ART ONLINE: LOST SONG - LATAM  PS4;OBSOLETO;Juego;PS4;BANDAI NAMCO
722674120548;TALES OF ZESTIRIA -  LATAM  PS4;OBSOLETO;Juego;PS4;BANDAI NAMCO
722674220071;RIDE -  LATAM  XBONE;OBSOLETO;Juego;XBONE;BANDAI NAMCO
7707291465152;PS3 ACC Bundle Diablo 3 w/DS3Diablo3;OBSOLETO;Accesorio;PS3;SCEA
83717202523;PS3 JGO Pro Evolution Soccer 2013;OBSOLETO;Juego;PS3;SCEA
G0003461;PS3 JGO Metal Gear Rising Revengeance;OBSOLETO;Juego;PS3;SCEA
G1090769;PS3 JGO Call of Duty: Modern Walfare 3 NFR;OBSOLETO;Juego;PS3;SCEA
